tipo banda,2022,2023,2024,Todos los años,artistas
Solista hombre,43,44,45,44,Todos los artistas
Solista mujer,21,19,19,19,Todos los artistas
Solista no binarie,1,1,1,1,Todos los artistas
Bandas de hombres,27,28,28,28,Todos los artistas
Bandas de mujeres,1,2,1,1,Todos los artistas
Bandas mixtas,7,6,6,7,Todos los artistas
Solista hombre,38,43,43,41,Headliners
Bandas de hombres,38,41,33,37,Headliners
Solista mujer,15,11,17,15,Headliners
Bandas de mujeres,0,0,0,0,Headliners
Solista no binarie,0,1,0,0,Headliners
Bandas mixtas,9,4,7,7,Headliners
