tipo banda,pais,2022,2023,2024
Solista mujer,Argentina,31.7,25.5,20.6
Solista mujer,Chile,21.2,19.8,19.3
Solista mujer,Colombia,20.9,20.3,21.1
Solista mujer,Costa Rica,15.2,12.6,14.6
Solista mujer,México,18.7,18.5,19.4
Solista mujer,Uruguay,22.4,18.7,18.1
Bandas de mujeres,Argentina,1.7,2.4,2.5
Bandas de mujeres,Chile,1.3,0.8,1.1
Bandas de mujeres,Colombia,0.8,1.6,1.5
Bandas de mujeres,Costa Rica,0.5,1.3,1.4
Bandas de mujeres,México,1.2,2,1.5
Bandas de mujeres,Uruguay,3.4,0,3.2
Bandas mixtas,Argentina,9.1,7.5,8.3
Bandas mixtas,Chile,3.8,4.5,7.4
Bandas mixtas,Colombia,3.9,6.5,5.3
Bandas mixtas,Costa Rica,2.4,2.6,2.8
Bandas mixtas,México,8.1,7,6.1
Bandas mixtas,Uruguay,8.6,3.3,7.4
Bandas de hombres,Argentina,27.2,31,35.8
Bandas de hombres,Chile,25.8,33.5,29.3
Bandas de hombres,Colombia,23.6,22,24.5
Bandas de hombres,Costa Rica,11.8,17,16
Bandas de hombres,México,29.9,28,28.3
Bandas de hombres,Uruguay,15.5,35.2,40.4
Solista hombre,Argentina,29.2,32.5,32.8
Solista hombre,Chile,47,40.5,42.6
Solista hombre,Colombia,50,49.2,45.7
Solista hombre,Costa Rica,70.1,66.1,64.5
Solista hombre,México,41.6,43.3,43.3
Solista hombre,Uruguay,50,42.9,30.9
Solista no binarie,Argentina,1.1,1.2,0
Solista no binarie,Chile,0.8,0.8,0.4
Solista no binarie,Colombia,0.8,0.4,1.9
Solista no binarie,Costa Rica,0,0.4,0.7
Solista no binarie,México,0.5,1.1,1.2
Solista no binarie,Uruguay,0,0,0
