tipo banda,tipo show,2022,2023,2024,Todos los años,artistas
Solista hombre,Norte Global,47,44,48,46,Todos los artistas
Solista mujer,Norte Global,39,40,38,39,Todos los artistas
Solista no binarie,Norte Global,57,50,62,56,Todos los artistas
Bandas de hombres,Norte Global,42,35,45,41,Todos los artistas
Bandas de mujeres,Norte Global,19,39,34,32,Todos los artistas
Bandas mixtas,Norte Global,40,39,43,40,Todos los artistas
Solista hombre,Latinoamericanos,53,55,51,53,Todos los artistas
Solista mujer,Latinoamericanos,60,58,60,59,Todos los artistas
Solista no binarie,Latinoamericanos,43,50,38,44,Todos los artistas
Bandas de hombres,Latinoamericanos,57,64,54,58,Todos los artistas
Bandas de mujeres,Latinoamericanos,81,61,66,68,Todos los artistas
Bandas mixtas,Latinoamericanos,59,61,57,60,Todos los artistas
Solista hombre,Otro,0,1,1,1,Todos los artistas
Solista mujer,Otro,1,2,2,2,Todos los artistas
Solista no binarie,Otro,0,0,0,0,Todos los artistas
Bandas de hombres,Otro,1,1,1,1,Todos los artistas
Bandas de mujeres,Otro,0,0,0,0,Todos los artistas
Bandas mixtas,Otro,1,0,0,0,Todos los artistas
Solista hombre,Norte Global,48,50,50,50,Headliner
Solista mujer,Norte Global,50,75,50,56,Headliner
Solista no binarie,Norte Global,0,100,0,67,Headliner
Bandas de hombres,Norte Global,48,59,58,55,Headliner
Bandas de mujeres,Norte Global,0,100,0,33,Headliner
Bandas mixtas,Norte Global,70,45,72,65,Headliner
Solista hombre,Latinoamericanos,52,48,49,50,Headliner
Solista mujer,Latinoamericanos,50,21,43,40,Headliner
Solista no binarie,Latinoamericanos,100,0,0,33,Headliner
Bandas de hombres,Latinoamericanos,51,41,42,45,Headliner
Bandas de mujeres,Latinoamericanos,100,0,100,67,Headliner
Bandas mixtas,Latinoamericanos,30,55,28,35,Headliner
Solista hombre,Otro,0,2,1,0,Headliner
Solista mujer,Otro,0,4,7,4,Headliner
Solista no binarie,Otro,0,0,0,0,Headliner
Bandas de hombres,Otro,1,0,0,0,Headliner
Bandas de mujeres,Otro,0,0,0,0,Headliner
Bandas mixtas,Otro,0,0,0,0,Headliner
